brand,product,sku,category,file_1_front,file_2_angle,file_3_detail
"ICONIC London","ICONIC London Radiance Booster Liquid Enhancer","SGT-MK-ICONIC-RADBOOST","Makeup","SGT-MK-ICONIC-RADBOOST.jpg","SGT-MK-ICONIC-RADBOOST-2.jpg","SGT-MK-ICONIC-RADBOOST-3.jpg"
"ICONIC London","ICONIC London Underglow Blurring Primer","SGT-MK-ICONIC-PRIMER","Makeup","SGT-MK-ICONIC-PRIMER.jpg","SGT-MK-ICONIC-PRIMER-2.jpg","SGT-MK-ICONIC-PRIMER-3.jpg"
"Iconic London","Iconic London Precision Contour & Shading Stick","SGT-MKP-CONTOUR-STICK-DUO","Makeup","SGT-MKP-CONTOUR-STICK-DUO.jpg","SGT-MKP-CONTOUR-STICK-DUO-2.jpg","SGT-MKP-CONTOUR-STICK-DUO-3.jpg"
"Iconic London","Iconic London Radiance Booster Glow Primer (50ml)","SGT-MKP-RADIANCE-BOOSTER-50ML","Makeup","SGT-MKP-RADIANCE-BOOSTER-50ML.jpg","SGT-MKP-RADIANCE-BOOSTER-50ML-2.jpg","SGT-MKP-RADIANCE-BOOSTER-50ML-3.jpg"
"Jaguar","Jaguar Pre Style Relax Slice Hairdressing Scissors","SGT-JAGUAR-RELAX-SLICE","Barber Supplies","SGT-JAGUAR-RELAX-SLICE.jpg","SGT-JAGUAR-RELAX-SLICE-2.jpg","SGT-JAGUAR-RELAX-SLICE-3.jpg"
"Jaguar Solingen","Jaguar Pre-Style Relax Slice Hairdressing Scissors 5.5 Inch Set","SGT-JAGUAR-RELAX-SLICE-55-SET","Barber Supplies","SGT-JAGUAR-RELAX-SLICE-55-SET.jpg","SGT-JAGUAR-RELAX-SLICE-55-SET-2.jpg","SGT-JAGUAR-RELAX-SLICE-55-SET-3.jpg"
"Kryolan Professional","Ultra Longwear Professional Makeup Setting Spray (100ml)","SGT-MKP-MATTE-SETTING-SPRAY-100ML","Skin Care","SGT-MKP-MATTE-SETTING-SPRAY-100ML.jpg","SGT-MKP-MATTE-SETTING-SPRAY-100ML-2.jpg","SGT-MKP-MATTE-SETTING-SPRAY-100ML-3.jpg"
"Kube Decor","Modern Nordic Aesthetic Plush Salon Styling Chair","SGT-EQ-NORDIC-AESTHETIC","Professional Equipment","SGT-EQ-NORDIC-AESTHETIC.jpg","SGT-EQ-NORDIC-AESTHETIC-2.jpg","SGT-EQ-NORDIC-AESTHETIC-3.jpg"
"L'Oreal Professionnel","Biotin & Collagen Hair Rebuilding Spa Mask (500g Jar)","SGT-HC-BIOTIN-HAIR-MASK-500G","Skin Care","SGT-HC-BIOTIN-HAIR-MASK-500G.jpg","SGT-HC-BIOTIN-HAIR-MASK-500G-2.jpg","SGT-HC-BIOTIN-HAIR-MASK-500G-3.jpg"
"LipoWax","Almond & Aloe Vera Stripless Hard Wax Beans (500g)","SGT-WAX-BEADS-ALMOND-500G","Waxing","SGT-WAX-BEADS-ALMOND-500G.jpg","SGT-WAX-BEADS-ALMOND-500G-2.jpg","SGT-WAX-BEADS-ALMOND-500G-3.jpg"
"Lumiere Mirror Craft","Minimalist Full-Length Backlit LED Salon Wall Mirror & Hydraulic Station","SGT-EQ-LED-MIRROR-STATION","Professional Equipment","SGT-EQ-LED-MIRROR-STATION.jpg","SGT-EQ-LED-MIRROR-STATION-2.jpg","SGT-EQ-LED-MIRROR-STATION-3.jpg"
"L’Oréal Paris","L’Oréal Paris Glycolic Bright Day Cream With SPF 17","SGT-SC-013","Skin Care","SGT-SC-013.jpg","SGT-SC-013-2.jpg","SGT-SC-013-3.jpg"
"MDM","MDM Herbal Manjistha Soap – 100g x 6 Super Saver Pack","MDM-MANJISTHA-100G-X6","Skin Care","MDM-MANJISTHA-100G-X6.jpg","MDM-MANJISTHA-100G-X6-2.jpg","MDM-MANJISTHA-100G-X6-3.jpg"
"MDM","MDM Herbal Neem With Aloevera Soap 800G (100G X 8) Super Saver Pack","MDM-NEEM-ALOE-100G-X8","Skin Care","MDM-NEEM-ALOE-100G-X8.jpg","MDM-NEEM-ALOE-100G-X8-2.jpg","MDM-NEEM-ALOE-100G-X8-3.jpg"
"MDM Herbal","MDM Herbal Mulikaa My Saffron Beauty Soap – 150g","MDM-SAFFRON-SOAP-150G","Skin Care","MDM-SAFFRON-SOAP-150G.jpg","MDM-SAFFRON-SOAP-150G-2.jpg","MDM-SAFFRON-SOAP-150G-3.jpg"
"MDM Herbal","MDM Herbal VANA Shampoo","MDM-VANA-SHAMPOO-300ML","Hair Care","MDM-VANA-SHAMPOO-300ML.jpg","MDM-VANA-SHAMPOO-300ML-2.jpg","MDM-VANA-SHAMPOO-300ML-3.jpg"
"MDM Herbal","Mulika Hair Oil","MDM-VANA-SHAMPOO-300","Hair Care","MDM-VANA-SHAMPOO-300.jpg","MDM-VANA-SHAMPOO-300-2.jpg","MDM-VANA-SHAMPOO-300-3.jpg"
"MasterCraft Barber","MasterCraft Japanese Stainless Steel Barber Shears Collection","SGT-EQ-MASTERCRAFT-SHEARS-COLL","Barber Supplies","SGT-EQ-MASTERCRAFT-SHEARS-COLL.jpg","SGT-EQ-MASTERCRAFT-SHEARS-COLL-2.jpg","SGT-EQ-MASTERCRAFT-SHEARS-COLL-3.jpg"
"MasterCraft Furniture","Black Geometric Hollow Chrome Armrest Reclining Salon Chair","SGT-FUR-HOLLOW-ARM-BLK","Salon Furniture","SGT-FUR-HOLLOW-ARM-BLK.jpg","SGT-FUR-HOLLOW-ARM-BLK-2.jpg","SGT-FUR-HOLLOW-ARM-BLK-3.jpg"
"MasterCraft Furniture","Executive Matte Black Reclining Barber Chair","SGT-FUR-EXEC-MATTE-BLACK","Salon Furniture","SGT-FUR-EXEC-MATTE-BLACK.jpg","SGT-FUR-EXEC-MATTE-BLACK-2.jpg","SGT-FUR-EXEC-MATTE-BLACK-3.jpg"
"MasterCraft Professional","Master Salon Hairdresser Appliance & Accessories Suite","SGT-BAR-MASTER-SUITE","Barber Supplies","SGT-BAR-MASTER-SUITE.jpg","SGT-BAR-MASTER-SUITE-2.jpg","SGT-BAR-MASTER-SUITE-3.jpg"
"Matrix Professional","Violet Anti-Brass Dust-Free Bleaching Powder (500g)","SGT-HCT-COLOR-FREE-HIGHLIGHT-POWDER","Skin Care","SGT-HCT-COLOR-FREE-HIGHLIGHT-POWDER.jpg","SGT-HCT-COLOR-FREE-HIGHLIGHT-POWDER-2.jpg","SGT-HCT-COLOR-FREE-HIGHLIGHT-POWDER-3.jpg"
"Maycreate Professional","MAYCREATE Professional 10-Piece Hair Cutting & Thinning Scissors Kit","SGT-EQ-MAYCREATE-KIT10","Barber Supplies","SGT-EQ-MAYCREATE-KIT10.jpg","SGT-EQ-MAYCREATE-KIT10-2.jpg","SGT-EQ-MAYCREATE-KIT10-3.jpg"
"Moroccanoil Pro","Moroccan Argan Intensive Hair Elixir Oil (100ml Dropper)","SGT-HC-ARGAN-SERUM-DROPPER","Skin Care","SGT-HC-ARGAN-SERUM-DROPPER.jpg","SGT-HC-ARGAN-SERUM-DROPPER-2.jpg","SGT-HC-ARGAN-SERUM-DROPPER-3.jpg"
"Nordic Spa Furniture","Commercial Electric Hydraulic Facial & Massage Treatment Table","SGT-FUR-FACIAL-BED-HYDRAULIC-ELECTRIC","Salon Furniture","SGT-FUR-FACIAL-BED-HYDRAULIC-ELECTRIC.jpg","SGT-FUR-FACIAL-BED-HYDRAULIC-ELECTRIC-2.jpg","SGT-FUR-FACIAL-BED-HYDRAULIC-ELECTRIC-3.jpg"
"Nordic Spa Furniture","Executive Gold Accent Black Hydraulic Styling Chair","SGT-FUR-GOLD-HYDRAULIC-STYLING-CHAIR","Skin Care","SGT-FUR-GOLD-HYDRAULIC-STYLING-CHAIR.jpg","SGT-FUR-GOLD-HYDRAULIC-STYLING-CHAIR-2.jpg","SGT-FUR-GOLD-HYDRAULIC-STYLING-CHAIR-3.jpg"
"Nordic Spa Furniture","Executive Quilted Leather Salon Shampoo Backwash Station with Ceramic Basin","SGT-FUR-BACKWASH-SHAMPOO-QUILTED","Salon Furniture","SGT-FUR-BACKWASH-SHAMPOO-QUILTED.jpg","SGT-FUR-BACKWASH-SHAMPOO-QUILTED-2.jpg","SGT-FUR-BACKWASH-SHAMPOO-QUILTED-3.jpg"
"Nordic Spa Furniture","Luxury Pedicure Spa Chair Unit with Hydrotherapy Foot Bath","SGT-FUR-PEDICURE-SPA-CHAIR-LUX","Salon Furniture","SGT-FUR-PEDICURE-SPA-CHAIR-LUX.jpg","SGT-FUR-PEDICURE-SPA-CHAIR-LUX-2.jpg","SGT-FUR-PEDICURE-SPA-CHAIR-LUX-3.jpg"
"Nordic Spa Furniture","Professional Glass Top Manicure Table Desk with Dust Collector","SGT-FUR-MANICURE-DESK-GLASS-TOP","Skin Care","SGT-FUR-MANICURE-DESK-GLASS-TOP.jpg","SGT-FUR-MANICURE-DESK-GLASS-TOP-2.jpg","SGT-FUR-MANICURE-DESK-GLASS-TOP-3.jpg"
"O3+ Professional","Professional Ultrasonic Facial Skin Scrubber Spatula","SGT-EQ-ULTRASONIC-SKIN-SCRUBBER","Skin Care","SGT-EQ-ULTRASONIC-SKIN-SCRUBBER.jpg","SGT-EQ-ULTRASONIC-SKIN-SCRUBBER-2.jpg","SGT-EQ-ULTRASONIC-SKIN-SCRUBBER-3.jpg"
"O3+ Professional","Pure Hyaluronic Acid Hydrating Serum (50ml Glass Bottle)","SGT-SKIN-HYALURONIC-SERUM-50ML","Skin Care","SGT-SKIN-HYALURONIC-SERUM-50ML.jpg","SGT-SKIN-HYALURONIC-SERUM-50ML-2.jpg","SGT-SKIN-HYALURONIC-SERUM-50ML-3.jpg"
"Olaplex Professional","Professional Bond Rebuilder Plex Solution No. 1 (500ml)","SGT-HCT-BOND-PLEX-STEP1-500ML","Skin Care","SGT-HCT-BOND-PLEX-STEP1-500ML.jpg","SGT-HCT-BOND-PLEX-STEP1-500ML-2.jpg","SGT-HCT-BOND-PLEX-STEP1-500ML-3.jpg"
"PAC Cosmetics","Salon Bridal Velvet Matte Liquid Lipstick Set (6 Shades)","SGT-MKP-VELVET-MATTE-LIPSTICK-SET","Skin Care","SGT-MKP-VELVET-MATTE-LIPSTICK-SET.jpg","SGT-MKP-VELVET-MATTE-LIPSTICK-SET-2.jpg","SGT-MKP-VELVET-MATTE-LIPSTICK-SET-3.jpg"
"Philips","Philips All-in-One Trimmer 3000 Series (9-in-1 Grooming Kit)","SGT-PHILIPS-TR3000-9IN1","Barber Supplies","SGT-PHILIPS-TR3000-9IN1.jpg","SGT-PHILIPS-TR3000-9IN1-2.jpg","SGT-PHILIPS-TR3000-9IN1-3.jpg"
"Pro Makeup Series","Professional Translucent HD Loose Setting Powder (50g)","SGT-MKP-TRANSLUCENT-SETTING-POWDER","Makeup","SGT-MKP-TRANSLUCENT-SETTING-POWDER.jpg","SGT-MKP-TRANSLUCENT-SETTING-POWDER-2.jpg","SGT-MKP-TRANSLUCENT-SETTING-POWDER-3.jpg"
"Pro Makeup Series","Ultra HD Liquid Foundation Glass Bottle with Pump (30ml)","SGT-MKP-FLUID-FOUNDATION-30ML","Makeup","SGT-MKP-FLUID-FOUNDATION-30ML.jpg","SGT-MKP-FLUID-FOUNDATION-30ML-2.jpg","SGT-MKP-FLUID-FOUNDATION-30ML-3.jpg"
"Pro-Genesis Salon Solutions","Pro-Genesis Professional Hair Rebonding Straightening Cream Step 1 (1000ml)","SGT-HCT-PRO-GENESIS-REBONDING-CREAM-1000ML","Hair Color & Treatment","SGT-HCT-PRO-GENESIS-REBONDING-CREAM-1000ML.jpg","SGT-HCT-PRO-GENESIS-REBONDING-CREAM-1000ML-2.jpg","SGT-HCT-PRO-GENESIS-REBONDING-CREAM-1000ML-3.jpg"
"ProLuxe Barber Supplies","Professional Barber Station Cordless Clipper & Gold Skeleton Trimmer Set","SGT-BRB-STATION-CLIPPER-TRIMMER-SET","Barber Supplies","SGT-BRB-STATION-CLIPPER-TRIMMER-SET.jpg","SGT-BRB-STATION-CLIPPER-TRIMMER-SET-2.jpg","SGT-BRB-STATION-CLIPPER-TRIMMER-SET-3.jpg"
"ProLuxe Barber Supplies","Professional Leather Shear Case & Titanium Scissors Set","SGT-BRB-LEATHER-SHEAR-CASE-SET","Barber Supplies","SGT-BRB-LEATHER-SHEAR-CASE-SET.jpg","SGT-BRB-LEATHER-SHEAR-CASE-SET-2.jpg","SGT-BRB-LEATHER-SHEAR-CASE-SET-3.jpg"
"ProLuxe Salon Equipment","18-Inch Dimmable LED Ring Light Stand Kit with Smartphone Holder","SGT-EQ-RING-LIGHT-18INCH-KIT-STD","Professional Equipment","SGT-EQ-RING-LIGHT-18INCH-KIT-STD.jpg","SGT-EQ-RING-LIGHT-18INCH-KIT-STD-2.jpg","SGT-EQ-RING-LIGHT-18INCH-KIT-STD-3.jpg"
"ProLuxe Salon Equipment","Commercial Double Door Hot Towel Warmer UV Sterilizer 23L","SGT-EQ-HOT-TOWEL-STERILIZER-23L","Skin Care","SGT-EQ-HOT-TOWEL-STERILIZER-23L.jpg","SGT-EQ-HOT-TOWEL-STERILIZER-23L-2.jpg","SGT-EQ-HOT-TOWEL-STERILIZER-23L-3.jpg"
"ProLuxe Salon Equipment","LED Illuminated Desktop Vanity Mirror Station with Touch Dimmer","SGT-EQ-VANITY-MIRROR-LED","Professional Equipment","SGT-EQ-VANITY-MIRROR-LED.jpg","SGT-EQ-VANITY-MIRROR-LED-2.jpg","SGT-EQ-VANITY-MIRROR-LED-3.jpg"
"ProMaster Barber","ProMaster Full Gold Titanium Professional Cutting Scissor","SGT-EQ-PROMASTER-GOLD","Barber Supplies","SGT-EQ-PROMASTER-GOLD.jpg","SGT-EQ-PROMASTER-GOLD-2.jpg","SGT-EQ-PROMASTER-GOLD-3.jpg"
"ProNail Tech","Commercial 35,000 RPM Electric Nail Drill System with Digital Display","SGT-NAIL-DRILL-35000RPM-PRO","Professional Equipment","SGT-NAIL-DRILL-35000RPM-PRO.jpg","SGT-NAIL-DRILL-35000RPM-PRO-2.jpg","SGT-NAIL-DRILL-35000RPM-PRO-3.jpg"
"ProWax","Commercial Single Can Electric Wax Warmer Machine 500ml","SGT-WAX-SINGLE-CAN-WARMER-500ML","Waxing","SGT-WAX-SINGLE-CAN-WARMER-500ML.jpg","SGT-WAX-SINGLE-CAN-WARMER-500ML-2.jpg","SGT-WAX-SINGLE-CAN-WARMER-500ML-3.jpg"
"ProWax","Professional Digital Wax Warmer Starter Kit with Hard Wax Beads","SGT-WAX-STARTER-KIT-WHITE","Waxing","SGT-WAX-STARTER-KIT-WHITE.jpg","SGT-WAX-STARTER-KIT-WHITE-2.jpg","SGT-WAX-STARTER-KIT-WHITE-3.jpg"
"ProWax","Trio Roll-on Wax Cartridge Heater Base Station","SGT-WAX-ROLLON-CARTRIDGE-WARMER","Waxing","SGT-WAX-ROLLON-CARTRIDGE-WARMER.jpg","SGT-WAX-ROLLON-CARTRIDGE-WARMER-2.jpg","SGT-WAX-ROLLON-CARTRIDGE-WARMER-3.jpg"
"Professional Series","18-Inch Dimmable LED Ring Light Stand Kit with Smartphone Holder","SGT-EQ-RING-LIGHT-18INCH-KIT","Professional Equipment","SGT-EQ-RING-LIGHT-18INCH-KIT.jpg","SGT-EQ-RING-LIGHT-18INCH-KIT-2.jpg","SGT-EQ-RING-LIGHT-18INCH-KIT-3.jpg"
"Professional Series","2400W High-Speed AC Motor Ionic Hair Dryer","SGT-EQ-DRYER-2400W-ROSEGOLD","Professional Equipment","SGT-EQ-DRYER-2400W-ROSEGOLD.jpg","SGT-EQ-DRYER-2400W-ROSEGOLD-2.jpg","SGT-EQ-DRYER-2400W-ROSEGOLD-3.jpg"
"Professional Series","Commercial Hot Towel Warmer Cabinet & UV Sterilizer 18L","SGT-EQ-TOWEL-WARMER-STERILIZER-18L","Professional Equipment","SGT-EQ-TOWEL-WARMER-STERILIZER-18L.jpg","SGT-EQ-TOWEL-WARMER-STERILIZER-18L-2.jpg","SGT-EQ-TOWEL-WARMER-STERILIZER-18L-3.jpg"
"Professional Series","Heavy-Duty Cordless Hair Clipper & Fade Trimmer","SGT-BAR-CLIPPER-PRO-SGT9","Barber Supplies","SGT-BAR-CLIPPER-PRO-SGT9.jpg","SGT-BAR-CLIPPER-PRO-SGT9-2.jpg","SGT-BAR-CLIPPER-PRO-SGT9-3.jpg"
"Professional Series","Professional Intensive Hydrating Conditioner with Argan Oil (1000ml Pump Bottle)","SGT-HC-HYDRATING-CONDITIONER-1000ML","Hair Care","SGT-HC-HYDRATING-CONDITIONER-1000ML.jpg","SGT-HC-HYDRATING-CONDITIONER-1000ML-2.jpg","SGT-HC-HYDRATING-CONDITIONER-1000ML-3.jpg"
"Professional Series","Professional Intensive Repair Hair Spa Treatment Cream (500g Jar)","SGT-HC-ARGAN-REPAIR-MASK-500G","Hair Care","SGT-HC-ARGAN-REPAIR-MASK-500G.jpg","SGT-HC-ARGAN-REPAIR-MASK-500G-2.jpg","SGT-HC-ARGAN-REPAIR-MASK-500G-3.jpg"
"Professional Series","Professional Salon Standing Hair Steamer Hood Machine","SGT-EQ-STANDING-HAIR-STEAMER-HOOD","Professional Equipment","SGT-EQ-STANDING-HAIR-STEAMER-HOOD.jpg","SGT-EQ-STANDING-HAIR-STEAMER-HOOD-2.jpg","SGT-EQ-STANDING-HAIR-STEAMER-HOOD-3.jpg"
"Professional Series","Professional Stand Facial Ozone Steamer Machine","SGT-EQ-STAND-FACIAL-OZONE-STEAMER","Professional Equipment","SGT-EQ-STAND-FACIAL-OZONE-STEAMER.jpg","SGT-EQ-STAND-FACIAL-OZONE-STEAMER-2.jpg","SGT-EQ-STAND-FACIAL-OZONE-STEAMER-3.jpg"
"Professional Series","Stainless Steel Digital Autoclave Tool Sterilizer Cabinet","SGT-EQ-STAINLESS-STERILIZER-120C","Professional Equipment","SGT-EQ-STAINLESS-STERILIZER-120C.jpg","SGT-EQ-STAINLESS-STERILIZER-120C-2.jpg","SGT-EQ-STAINLESS-STERILIZER-120C-3.jpg"
"Professional Series","Tabletop Compact Facial Ozone Steamer Machine with Flexible Arm","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER","Professional Equipment","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER.jpg","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER-2.jpg","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER-3.jpg"
"Professional Waxing Series","Digital Wax Warmer Heater Pot with Clear Acrylic Lid","SGT-WAX-DIGITAL-WARMER-POT-WHITE","Waxing","SGT-WAX-DIGITAL-WARMER-POT-WHITE.jpg","SGT-WAX-DIGITAL-WARMER-POT-WHITE-2.jpg","SGT-WAX-DIGITAL-WARMER-POT-WHITE-3.jpg"
"RICA Professional","Black Charcoal Detox Stripless Hard Wax Beans (1kg Bag)","SGT-WAX-CHARCOAL-HARD-BEANS-1KG","Skin Care","SGT-WAX-CHARCOAL-HARD-BEANS-1KG.jpg","SGT-WAX-CHARCOAL-HARD-BEANS-1KG-2.jpg","SGT-WAX-CHARCOAL-HARD-BEANS-1KG-3.jpg"
"RICA Professional","Honey Natural Soft Liposoluble Wax Can (600g)","SGT-WAX-HONEY-SOFT-600G","Waxing","SGT-WAX-HONEY-SOFT-600G.jpg","SGT-WAX-HONEY-SOFT-600G-2.jpg","SGT-WAX-HONEY-SOFT-600G-3.jpg"
"RICA Professional","Pre-Wax Sanitizing Spray & Post-Wax Soothing Oil Duo (2x 250ml)","SGT-WAX-PREPOST-CARE-SET","Waxing","SGT-WAX-PREPOST-CARE-SET.jpg","SGT-WAX-PREPOST-CARE-SET-2.jpg","SGT-WAX-PREPOST-CARE-SET-3.jpg"
"Raaga Professional","10% Niacinamide Skin Brightening Day Cream (100g Jar)","SGT-SKIN-NIACINAMIDE-GLOW-CREAM","Skin Care","SGT-SKIN-NIACINAMIDE-GLOW-CREAM.jpg","SGT-SKIN-NIACINAMIDE-GLOW-CREAM-2.jpg","SGT-SKIN-NIACINAMIDE-GLOW-CREAM-3.jpg"
"Richelon","Richelon Charcoal Liposoluble Cartridge Wax (100g)","RCH-WAX-CHARCOAL-100G","Waxing","RCH-WAX-CHARCOAL-100G.jpg","RCH-WAX-CHARCOAL-100G-2.jpg","RCH-WAX-CHARCOAL-100G-3.jpg"
"Richelon","Richelon White Chocolate Liposoluble Cartridge Wax (100g)","RCH-WAX-WHITE-CHOC-100G","Waxing","RCH-WAX-WHITE-CHOC-100G.jpg","RCH-WAX-WHITE-CHOC-100G-2.jpg","RCH-WAX-WHITE-CHOC-100G-3.jpg"
